6.88F,Highest winrate,1,88,Brewmaster
6.88F,Highest winrate,2,76,Meepo
6.88F,Highest winrate,3,75,Enigma
6.88F,Highest winrate,4,75,Underlord
6.88F,Highest winrate,5,68,Gyrocopter
6.88F,Highest winrate,6,66,Treant Protector
6.88F,Highest winrate,7,64,Chen
6.88F,Highest winrate,8,64,Phoenix
6.88F,Highest winrate,9,63,Crystal Maiden
6.88F,Highest winrate,10,58,Bloodseeker
6.88F,Highest winrate,11,57,Chaos Knight
6.88F,Highest winrate,12,57,Lina
6.88F,Highest winrate,13,57,Nature's Prophet
6.88F,Highest winrate,14,57,Spectre
6.88F,Highest winrate,15,57,Broodmother
6.88F,Highest winrate,16,57,Magnus
6.88F,Highest winrate,17,56,Naga Siren
6.88F,Highest winrate,18,56,Alchemist
6.88F,Highest winrate,19,56,Phantom Assassin
6.88F,Highest winrate,20,56,Queen of Pain
6.88F,Highest winrate,21,55,Faceless Void
6.88F,Highest winrate,22,55,Ancient Apparition
6.88F,Highest winrate,23,55,Nyx Assassin
6.88F,Highest winrate,24,55,Templar Assassin
6.88F,Highest winrate,25,54,Mirana
6.88F,Highest winrate,26,54,Beastmaster
6.88F,Highest winrate,27,54,Bounty Hunter
6.88F,Highest winrate,28,54,Rubick
6.88F,Highest winrate,29,54,Enchantress
6.88F,Highest winrate,30,54,Sven
6.88F,Highest winrate,31,53,Pugna
6.88F,Highest winrate,32,53,Tusk
6.88F,Highest winrate,33,53,Lifestealer
6.88F,Highest winrate,34,53,Luna
6.88F,Highest winrate,35,53,Ogre Magi
6.88F,Highest winrate,36,53,Spirit Breaker
6.88F,Highest winrate,37,52,Clockwerk
6.88F,Highest winrate,38,52,Razor
6.88F,Highest winrate,39,52,Lion
6.88F,Highest winrate,40,52,Leshrac
6.88F,Highest winrate,41,51,Witch Doctor
6.88F,Highest winrate,42,51,Timbersaw
6.88F,Highest winrate,43,51,Outworld Devourer
6.88F,Highest winrate,44,51,Kunkka
6.88F,Highest winrate,45,51,Earthshaker
6.88F,Highest winrate,46,51,Tinker
6.88F,Highest winrate,47,51,Slardar
6.88F,Highest winrate,48,51,Dark Seer
6.88F,Highest winrate,49,50,Troll Warlord
6.88F,Highest winrate,50,50,Warlock
6.88F,Highest winrate,51,50,Huskar
6.88F,Highest winrate,52,50,Elder Titan
6.88F,Highest winrate,53,50,Keeper of the Light
6.88F,Highest winrate,54,50,Silencer
6.88F,Highest winrate,55,50,Phantom Lancer
6.88F,Highest winrate,56,50,Weaver
6.88F,Highest winrate,57,49,Axe
6.88F,Highest winrate,58,49,Tiny
6.88F,Highest winrate,59,49,Io
6.88F,Highest winrate,60,49,Storm Spirit
6.88F,Highest winrate,61,49,Anti-Mage
6.88F,Highest winrate,62,49,Winter Wyvern
6.88F,Highest winrate,63,49,Juggernaut
6.88F,Highest winrate,64,49,Drow Ranger
6.88F,Highest winrate,65,49,Night Stalker
6.88F,Highest winrate,66,49,Omniknight
6.88F,Highest winrate,67,49,Tidehunter
6.88F,Highest winrate,68,48,Disruptor
6.88F,Highest winrate,69,48,Undying
6.88F,Highest winrate,70,48,Puck
6.88F,Highest winrate,71,48,Skywrath Mage
6.88F,Highest winrate,72,48,Morphling
6.88F,Highest winrate,73,48,Legion Commander
6.88F,Highest winrate,74,48,Dragon Knight
6.88F,Highest winrate,75,48,Dazzle
6.88F,Highest winrate,76,48,Medusa
6.88F,Highest winrate,77,48,Lich
6.88F,Highest winrate,78,48,Batrider
6.88F,Highest winrate,79,47,Invoker
6.88F,Highest winrate,80,47,Doom
6.88F,Highest winrate,81,47,Sniper
6.88F,Highest winrate,82,47,Shadow Demon
6.88F,Highest winrate,83,47,Venomancer
6.88F,Highest winrate,84,47,Ursa Warrior
6.88F,Highest winrate,85,46,Earth Spirit
6.88F,Highest winrate,86,46,Bane
6.88F,Highest winrate,87,45,Riki
6.88F,Highest winrate,88,45,Windranger
6.88F,Highest winrate,89,44,Lone Druid
6.88F,Highest winrate,90,44,Centaur Warrunner
6.88F,Highest winrate,91,44,Jakiro
6.88F,Highest winrate,92,43,Ember Spirit
6.88F,Highest winrate,93,43,Slark
6.88F,Highest winrate,94,43,Necrophos
6.88F,Highest winrate,95,43,Oracle
6.88F,Highest winrate,96,42,Shadow Fiend
6.88F,Highest winrate,97,41,Sand King
6.88F,Highest winrate,98,40,Shadow Shaman
6.88F,Highest winrate,99,40,Visage
6.88F,Highest winrate,100,40,Pudge
6.88F,Highest winrate,101,38,Terrorblade
6.88F,Highest winrate,102,38,Vengeful Spirit
6.88F,Highest winrate,103,38,Abaddon
6.88F,Highest winrate,104,38,Death Prophet
6.88F,Highest winrate,105,38,Clinkz
6.88F,Highest winrate,106,36,Lycan
6.88F,Highest winrate,107,33,Wraith King
6.88F,Highest winrate,108,31,Viper
6.88F,Highest winrate,109,27,Bristleback
6.88F,Most picked,1,37,Ogre Magi
6.88F,Most picked,2,34,Juggernaut
6.88F,Most picked,3,31,Sand King
6.88F,Most picked,4,31,Slardar
6.88F,Most picked,5,30,Rubick
6.88F,Most picked,6,28,Batrider
6.88F,Most picked,7,26,Mirana
6.88F,Most picked,8,25,Lifestealer
6.88F,Most picked,9,25,Warlock
6.88F,Most picked,10,24,Outworld Devourer
6.88F,Most picked,11,23,Timbersaw
6.88F,Most picked,12,22,Shadow Demon
6.88F,Most picked,13,19,Luna
6.88F,Most picked,14,19,Oracle
6.88F,Most picked,15,19,Disruptor
6.88F,Most picked,16,18,Nyx Assassin
6.88F,Most picked,17,18,Axe
6.88F,Most picked,18,18,Invoker
6.88F,Most picked,19,16,Dark Seer
6.88F,Most picked,20,16,Drow Ranger
6.88F,Most picked,21,14,Earth Spirit
6.88F,Most picked,22,14,Faceless Void
6.88F,Most picked,23,14,Ursa Warrior
6.88F,Most picked,24,14,Io
6.88F,Most picked,25,13,Keeper of the Light
6.88F,Most picked,26,13,Slark
6.88F,Most picked,27,13,Sven
6.88F,Most picked,28,12,Witch Doctor
6.88F,Most picked,29,12,Kunkka
6.88F,Most picked,30,12,Undying
6.88F,Most picked,31,12,Bounty Hunter
6.88F,Most picked,32,12,Dazzle
6.88F,Most picked,33,11,Legion Commander
6.88F,Most picked,34,11,Storm Spirit
6.88F,Most picked,35,11,Alchemist
6.88F,Most picked,36,10,Clockwerk
6.88F,Most picked,37,10,Morphling
6.88F,Most picked,38,9,Puck
6.88F,Most picked,39,9,Phantom Assassin
6.88F,Most picked,40,9,Weaver
6.88F,Most picked,41,9,Silencer
6.88F,Most picked,42,9,Omniknight
6.88F,Most picked,43,9,Elder Titan
6.88F,Most picked,44,9,Tinker
6.88F,Most picked,45,8,Naga Siren
6.88F,Most picked,46,8,Beastmaster
6.88F,Most picked,47,8,Dragon Knight
6.88F,Most picked,48,8,Vengeful Spirit
6.88F,Most picked,49,8,Jakiro
6.88F,Most picked,50,7,Templar Assassin
6.88F,Most picked,51,7,Razor
6.88F,Most picked,52,7,Tidehunter
6.88F,Most picked,53,7,Sniper
6.88F,Most picked,54,7,Pudge
6.88F,Most picked,55,7,Lion
6.88F,Most picked,56,5,Shadow Fiend
6.88F,Most picked,57,5,Spirit Breaker
6.88F,Most picked,58,5,Anti-Mage
6.88F,Most picked,59,5,Riki
6.88F,Most picked,60,5,Chen
6.88F,Most picked,61,5,Pugna
6.88F,Most picked,62,5,Magnus
6.88F,Most picked,63,4,Leshrac
6.88F,Most picked,64,4,Treant Protector
6.88F,Most picked,65,4,Enchantress
6.88F,Most picked,66,4,Medusa
6.88F,Most picked,67,4,Terrorblade
6.88F,Most picked,68,4,Venomancer
6.88F,Most picked,69,4,Bane
6.88F,Most picked,70,4,Centaur Warrunner
6.88F,Most picked,71,4,Crystal Maiden
6.88F,Most picked,72,3,Skywrath Mage
6.88F,Most picked,73,3,Winter Wyvern
6.88F,Most picked,74,3,Ember Spirit
6.88F,Most picked,75,3,Tiny
6.88F,Most picked,76,3,Earthshaker
6.88F,Most picked,77,3,Doom
6.88F,Most picked,78,3,Night Stalker
6.88F,Most picked,79,3,Ancient Apparition
6.88F,Most picked,80,2,Huskar
6.88F,Most picked,81,2,Bloodseeker
6.88F,Most picked,82,2,Nature's Prophet
6.88F,Most picked,83,2,Gyrocopter
6.88F,Most picked,84,2,Lich
6.88F,Most picked,85,2,Death Prophet
6.88F,Most picked,86,2,Enigma
6.88F,Most picked,87,2,Abaddon
6.88F,Most picked,88,2,Clinkz
6.88F,Most picked,89,2,Windranger
6.88F,Most picked,90,2,Queen of Pain
6.88F,Most picked,91,1,Phoenix
6.88F,Most picked,92,1,Bristleback
6.88F,Most picked,93,1,Tusk
6.88F,Most picked,94,1,Lone Druid
6.88F,Most picked,95,1,Shadow Shaman
6.88F,Most picked,96,1,Necrophos
6.88F,Most picked,97,1,Zeus
6.88F,Most picked,98,1,Lina
6.88F,Most picked,99,1,Lycan
6.88F,Most picked,100,1,Broodmother
6.88F,Most picked,101,1,Viper
6.88F,Most picked,102,1,Visage
6.88F,Most picked,103,1,Phantom Lancer
6.88F,Most picked,104,1,Meepo
6.88F,Most picked,105,1,Chaos Knight
6.88F,Most picked,106,1,Spectre
6.88F,Most picked,107,1,Brewmaster
6.88F,Most picked,108,0,Arc Warden
6.88F,Most picked,109,0,Underlord
6.88F,Most picked,110,0,Wraith King
6.88F,Most contested,1,76,Outworld Devourer
6.88F,Most contested,2,75,Batrider
6.88F,Most contested,3,62,Sand King
6.88F,Most contested,4,61,Juggernaut
6.88F,Most contested,5,60,Drow Ranger
6.88F,Most contested,6,60,Ogre Magi
6.88F,Most contested,7,60,Slardar
6.88F,Most contested,8,57,Lifestealer
6.88F,Most contested,9,52,Shadow Demon
6.88F,Most contested,10,48,Timbersaw
6.88F,Most contested,11,45,Mirana
6.88F,Most contested,12,43,Warlock
6.88F,Most contested,13,40,Oracle
6.88F,Most contested,14,40,Io
6.88F,Most contested,15,39,Rubick
6.88F,Most contested,16,38,Nyx Assassin
6.88F,Most contested,17,36,Invoker
6.88F,Most contested,18,36,Axe
6.88F,Most contested,19,36,Dark Seer
6.88F,Most contested,20,34,Storm Spirit
6.88F,Most contested,21,33,Luna
6.88F,Most contested,22,30,Bounty Hunter
6.88F,Most contested,23,30,Faceless Void
6.88F,Most contested,24,30,Alchemist
6.88F,Most contested,25,28,Naga Siren
6.88F,Most contested,26,28,Slark
6.88F,Most contested,27,28,Ursa Warrior
6.88F,Most contested,28,27,Tinker
6.88F,Most contested,29,26,Disruptor
6.88F,Most contested,30,25,Sven
6.88F,Most contested,31,24,Keeper of the Light
6.88F,Most contested,32,24,Morphling
6.88F,Most contested,33,22,Kunkka
6.88F,Most contested,34,22,Earth Spirit
6.88F,Most contested,35,21,Omniknight
6.88F,Most contested,36,20,Undying
6.88F,Most contested,37,18,Riki
6.88F,Most contested,38,17,Puck
6.88F,Most contested,39,17,Witch Doctor
6.88F,Most contested,40,17,Sniper
6.88F,Most contested,41,17,Dazzle
6.88F,Most contested,42,16,Phantom Assassin
6.88F,Most contested,43,16,Legion Commander
6.88F,Most contested,44,16,Beastmaster
6.88F,Most contested,45,16,Razor
6.88F,Most contested,46,15,Templar Assassin
6.88F,Most contested,47,15,Elder Titan
6.88F,Most contested,48,15,Silencer
6.88F,Most contested,49,14,Weaver
6.88F,Most contested,50,14,Clockwerk
6.88F,Most contested,51,13,Dragon Knight
6.88F,Most contested,52,12,Huskar
6.88F,Most contested,53,12,Tidehunter
6.88F,Most contested,54,12,Anti-Mage
6.88F,Most contested,55,10,Jakiro
