6.80,Highest winrate,1,67,Zeus
6.80,Highest winrate,2,63,Tiny
6.80,Highest winrate,3,63,Lycan
6.80,Highest winrate,4,60,Beastmaster
6.80,Highest winrate,5,58,Mirana
6.80,Highest winrate,6,57,Juggernaut
6.80,Highest winrate,7,57,Shadow Shaman
6.80,Highest winrate,8,56,Io
6.80,Highest winrate,9,56,Night Stalker
6.80,Highest winrate,10,56,Ursa Warrior
6.80,Highest winrate,11,56,Luna
6.80,Highest winrate,12,54,Ogre Magi
6.80,Highest winrate,13,54,Dazzle
6.80,Highest winrate,14,54,Leshrac
6.80,Highest winrate,15,54,Wraith King
6.80,Highest winrate,16,54,Shadow Fiend
6.80,Highest winrate,17,53,Abaddon
6.80,Highest winrate,18,53,Bane
6.80,Highest winrate,19,53,Pugna
6.80,Highest winrate,20,53,Ember Spirit
6.80,Highest winrate,21,53,Templar Assassin
6.80,Highest winrate,22,53,Elder Titan
6.80,Highest winrate,23,53,Batrider
6.80,Highest winrate,24,53,Dark Seer
6.80,Highest winrate,25,52,Centaur Warrunner
6.80,Highest winrate,26,52,Doom
6.80,Highest winrate,27,52,Chen
6.80,Highest winrate,28,52,Witch Doctor
6.80,Highest winrate,29,52,Earthshaker
6.80,Highest winrate,30,52,Naga Siren
6.80,Highest winrate,31,52,Venomancer
6.80,Highest winrate,32,51,Vengeful Spirit
6.80,Highest winrate,33,51,Clinkz
6.80,Highest winrate,34,51,Lone Druid
6.80,Highest winrate,35,51,Treant Protector
6.80,Highest winrate,36,51,Slardar
6.80,Highest winrate,37,51,Nature's Prophet
6.80,Highest winrate,38,51,Dragon Knight
6.80,Highest winrate,39,51,Spectre
6.80,Highest winrate,40,50,Rubick
6.80,Highest winrate,41,50,Nyx Assassin
6.80,Highest winrate,42,50,Invoker
6.80,Highest winrate,43,50,Queen of Pain
6.80,Highest winrate,44,50,Medusa
6.80,Highest winrate,45,50,Visage
6.80,Highest winrate,46,50,Puck
6.80,Highest winrate,47,50,Tinker
6.80,Highest winrate,48,50,Enchantress
6.80,Highest winrate,49,50,Anti-Mage
6.80,Highest winrate,50,50,Spirit Breaker
6.80,Highest winrate,51,49,Clockwerk
6.80,Highest winrate,52,49,Enigma
6.80,Highest winrate,53,49,Tusk
6.80,Highest winrate,54,49,Ancient Apparition
6.80,Highest winrate,55,48,Undying
6.80,Highest winrate,56,48,Storm Spirit
6.80,Highest winrate,57,48,Crystal Maiden
6.80,Highest winrate,58,47,Sand King
6.80,Highest winrate,59,47,Disruptor
6.80,Highest winrate,60,47,Slark
6.80,Highest winrate,61,47,Shadow Demon
6.80,Highest winrate,62,47,Meepo
6.80,Highest winrate,63,46,Viper
6.80,Highest winrate,64,46,Kunkka
6.80,Highest winrate,65,45,Faceless Void
6.80,Highest winrate,66,45,Tidehunter
6.80,Highest winrate,67,45,Weaver
6.80,Highest winrate,68,45,Axe
6.80,Highest winrate,69,45,Death Prophet
6.80,Highest winrate,70,45,Drow Ranger
